,ZaggSC,TANGO
RSPO1,1.66,3.51
RSPO2,1.78,3.53
RSPO3,-1.21,3.23
RSPO4,-1.93,3.6
RSPRY1,-3.33,2.13
RSRC1,-1.31,3.85
RSRC2,-1.65,2.96
RSRP1,-1.82,2.97
RSU1,-0.15,3.6
RTBDN,0.52,2.15
RTCA,0.58,0.27
RTCB,-1.81,2.95
RTEL1,1.94,2.05
RTF1,0.92,0.96
RTF2,0,3.62
RTKN,-0.1,3.35
RTKN2,—,0.52
RTL1,0.8,3.04
RTL10,—,3
RTL3,1.56,2.17
RTL4,0.6,3.01
RTL5,0.35,2.42
RTL6,1.74,2.45
RTL8A,2.28,1.54
RTL8B,-1.68,2.96
RTL8C,0.08,2.68
RTL9,-1.66,3.38
RTN1,-0.14,1.95
RTN2,-1.02,1.95
RTN3,1.24,2.12
RTN4,0.6,3.22
RTN4IP1,0.49,3.5
RTN4R,0.87,2.46
RTN4RL1,-3.16,4
RTN4RL2,-1.07,2.8
RTP1,1.01,3.5
RTP2,0.18,3.52
RTP3,-0.01,3.61
RTP4,0.31,3.55
RTP5,0.92,3.61
RTRAF,-0.4,3.35
RTTN,0.61,3.23
RUBCN,0.52,2.52
RUBCNL,1.21,3.07
RUFY1,-0.38,3.62
RUFY2,-0.68,3.83
RUFY3,0.21,3.49
RUFY4,-2.78,2.58
RUNDC1,0.88,2.75
RUNDC3A,1.36,1.38
RUNDC3B,1.18,2.35
RUNX1,-0.83,3.06
RUNX1T1,-1.64,3.65
RUNX2,0.71,2.83
RUNX3,-1.25,3.26
RUSC1,2.15,3.06
RUSC1-AS1,-0.49,2.8
RUSC2,1.91,2.93
RUVBL1,-0.57,3.89
RUVBL2,-0.42,3.39
RWDD1,1.16,2.77
RWDD2A,-0.13,3.09
RWDD2B,3.77,3.37
RWDD3,-0.23,2.83
RWDD4,1.7,2.55
RXFP1,-1.84,3.73
RXFP2,-1.59,3.38
RXFP3,-3.69,3.95
RXFP4,0.45,—
RXRA,3.16,2.45
RXRB,1.56,3.07
RXRG,1.41,2.79
RXYLT1,0.3,3.87
RYBP,0.88,3.56
RYK,0.71,3.74
RYR1,1.45,2.97
RYR2,—,1.3
RYR3,1.84,2.86
S100A1,1.48,1.99
S100A10,1.51,0.88
S100A11,—,—
S100A12,—,2.56
S100A13,2.44,2.82
S100A14,—,2.05
S100A16,1.54,0.79
S100A2,0.31,2.39
S100A3,1.32,2.5
S100A4,-0.14,3
S100A5,0.97,1.47
S100A6,0.66,2.4
S100A7,1.01,0.99
S100A7A,1.18,1.75
S100A7L2,-0.96,3.35
S100A8,2.38,2.67
S100A9,1.49,1.2
S100B,2.34,1.03
S100G,1.31,2.73
S100P,0.71,2.84
S100PBP,2.36,3.22
S100Z,1.98,1.13
S1PR1,1.42,3.11
S1PR2,1.21,3.14
S1PR3,2.03,2.99
S1PR4,-0.73,3.51
S1PR5,4.55,1.53
SAA1,-3.62,4.04
SAA2,-3.49,4.12
SAA4,-3.4,4.11
SAAL1,-2.91,4.12
SAC3D1,-2.82,4
SACM1L,-3.31,4
SACS,-3.29,4.03
SAE1,-3.05,3.88
SAFB,-1.03,3.18
SAFB2,-2.47,3.36
SAG,—,3.26
SAGE1,-2.27,3.32
SAGE2P,-2.8,3.3
SALL1,-1.94,3.27
SALL2,-1.61,2.83
SALL3,-1.5,3.1
SALL4,-1.95,3.35
SAMD1,-3.31,4.01
SAMD10,-1.54,3.39
SAMD11,-2.27,3.59
SAMD12,-2.09,3.44
SAMD13,-1.21,3.43
SAMD14,-2.1,3.36
SAMD15,-2.6,3.29
SAMD3,-1.97,4.06
SAMD4A,-1.2,3.43
SAMD4B,-0.44,3.24
SAMD5,-2.4,4.12
SAMD7,-3.08,4.08
SAMD8,-2.47,4.14
SAMD9,-2.46,4.09
SAMD9L,-1.46,3.07
SAMHD1,-2.41,4.07
SAMM50,-2.65,3.19
SAMSN1,-2.81,4.08
SAP130,1.93,3.35
SAP18,-1.7,3.65
SAP25,-1.57,3.61
SAP30,-1.9,3.34
SAP30BP,0.88,3.1
SAP30L,1.06,2.71
SAPCD1,-1.98,3.73
SAPCD2,-1.83,3.76
SAR1A,-2.68,4.07
SAR1B,-3.62,4.06
SARAF,-3.54,4.03
SARDH,-3.13,3.92
SARG,2.34,2.8
SARM1,-0.22,1.69
SARNP,2.16,2.87
SARS1,4.56,—
SARS2,0.33,3.5
SART1,-0.16,3.52
SART3,0.71,3.33
SASH1,0.7,3.33
SASH3,0.65,3.33
SASS6,0.69,3.33
SAT1,1.39,3.27
SAT2,0.73,3.45
SATB1,-0.07,3.36
SATB2,-0.13,3.36
SATL1,1.66,3.35
SAV1,-3.22,4.04
SAXO1,-2.67,3.93
SAXO2,-3.25,4.08
SAYSD1,-0.4,3.62
SBDS,-2.17,3.92
SBF1,-0.01,2.97
SBF2,-0.79,2.4
SBK1,-2.48,4.05
SBK2,-3.6,4
SBK3,-2.83,3.97
SBNO1,-2.92,4.07
SBNO2,-2.49,4.08
SBSN,—,3.91
SBSPON,-2.55,3.95
SC5D,-3.46,4.13
SCAF1,-1.22,1.17
SCAF11,-2.58,3.8
SCAF4,-3.43,3.83
SCAF8,-1.51,4.04
SCAI,-3.19,3.94
SCAMP1,-1.63,3.84
SCAMP2,-1.22,3.93
SCAMP3,-2.85,4.11
SCAMP4,-3.01,4.01
SCAMP5,-3.01,4.04
SCAND1,0.47,3.09
SCAND2P,-0.2,3.03
SCAP,-3.7,4.06
SCAPER,-3.4,4.01
SCARA3,-2.04,4.08
SCARA5,-2.83,4.03
SCARB1,—,2.55
SCARB2,0.57,3.4
SCARF1,1.25,3.21
SCARF2,1.55,3.23
SCCPDH,3.76,2.55
SCD5,-1.38,4.06
SCEL,-3.33,4.1
SCFD1,-3.58,4.12
SCFD2,-3.22,4.09
SCG2,-1.97,4.15
SCG3,-1.83,4.2
SCG5,0.92,3.48
SCGB1A1,0.15,3.09
SCGB1C1,—,3.42
SCGB1C2,-0.4,3.06
SCGB1D1,-0.14,3.11
SCGB1D2,2.71,2.84
SCGB1D4,2.09,2.77
SCGB2A1,0.7,3.12
SCGB2A2,0.43,3.08
SCGB2B2,-3.57,3.83
SCGB3A1,0.69,2.41
SCGB3A2,-0.23,2.81
SCGN,-0.09,3.29
SCHIP1,-1.19,4.18
SCIMP,-0.8,4.19
SCIN,0.88,1.92
SCLT1,-1.42,4.2
SCLY,-3.07,4.02
SCMH1,-3.4,3.7
SCML1,-3.06,4.01
SCML2,-3.2,4.02
SCML4,-3.46,4.12
SCN10A,3.29,2.8
SCN11A,-0.41,3.08
SCN1A,-3.46,4.13
SCN1B,-3.46,4.12
SCN2A,-3.43,4.15
SCN2B,-3.23,4.2
SCN3A,-3.46,4.18
SCN3B,-3.39,4.19
SCN4A,-3.3,4.14
SCN4B,-3.49,4.17
SCN5A,-3.12,4.14
SCN7A,1.34,2.22
SCN8A,-3.58,4.12
SCN9A,-2.77,4.28
SCNM1,-1.25,3.69
SCNN1A,0.66,3.45
SCNN1B,-0.5,3.3
SCNN1D,-0.47,3.5
SCNN1G,-0.84,3.18
SCO1,-2.14,2.99
SCO2,-1.51,3.46
SCOC,1.48,2.75
SCP2D1,0.54,3.44
SCPEP1,-0.44,3.31
SCRG1,-0.16,3.4
SCRIB,0.45,3.21
SCRN1,-0.92,2.89
SCRN2,1,2.99
SCRN3,1.48,2.96
SCRT1,0.46,2.74
SCRT2,1.05,2.66
SCT,1.05,2.8
SCTR,0.35,2.63
SCUBE1,0.6,2.68
SCUBE2,-0.25,2.06
SCUBE3,3.42,0.97
SCX,3.03,2.52
SCYL1,-0.82,1.96
SCYL2,0.24,3.99
SCYL3,0.71,2.97
SDAD1,-2.84,3.5
SDC1,2.1,1.42
SDC2,-0.24,3.32
SDC3,0.22,2.22
SDC4,0.4,1.96
SDCBP,-3.45,3.89
SDCBP2,0.13,3.85
SDCCAG8,0.11,2.4
SDE2,1.8,2.81
SDF2,0.81,2.77
SDF2L1,-0.14,3.27
SDF4,-0.88,3.2
SDHA,-0.26,1.94
SDHAF1,-1.83,2.98
SDHAF2,—,2.64
SDHAF3,0.66,2.11
SDHAF4,-1.08,3.15
SDHB,1.58,3.18
SDHC,-1.15,3.27
SDHD,-1.22,3.6
SDIM1,-1.64,3.12
SDK1,-1.71,3.14
SDK2,-0.95,3.46
SDR16C5,2.25,2.74
SDR39U1,1.2,2.89
SDR42E1,0.58,3.22
SDR42E2,0.85,3.39
SDR9C7,-0.09,3.97
SDS,-1.1,3.22
SDSL,-0.41,3.18
SEBOX,1.58,3.2
SEC11A,—,3.84
SEC11B,-1.11,3.59
SEC11C,-3.86,4.03
SEC13,-0.68,1.79
SEC14L1,1.22,2.78
SEC14L2,2.84,2.52
SEC14L3,1.45,1.63
SEC14L4,-0.78,2.41
SEC14L5,-0.82,2.81
SEC14L6,1.01,2.99
SEC16A,—,3.78
SEC16B,-3.09,3.95
SEC22A,-3.4,4.02
SEC22B,-3.4,4.06
SEC22C,-2.68,4.03
SEC23A,-2.51,4.12
SEC23B,-3.32,3.99
SEC23IP,-0.43,3.19
SEC24A,-3.41,4.02
SEC24B,-3.11,4.03
SEC24C,-3.55,3.84
SEC24D,-3.58,3.81
SEC31A,-3.57,3.87
SEC31B,—,2.74
SEC61A1,-2.7,3.93
SEC61A2,-2.37,3.89
SEC61B,0.44,4.02
SEC61G,-3.64,4.02
SEC62,-1.27,3.09
SEC63,1.22,2.75
SECISBP2,1.64,2.63
SECISBP2L,-2.98,3.96
SECTM1,0.92,2.58
SEH1L,-2.75,3.97
SEL1L,2.57,1.52
SEL1L2,-0.66,3.45
SEL1L3,3.58,1.64
SELE,2.33,3.02
SELENBP1,-3.48,3.99
SELENOF,-3.47,4.12
SELENOH,0.67,0.39
SELENOK,1.35,3.02
SELENOM,-0.06,3.41
SELENON,-0.97,3.21
SELENOO,-1.08,2.92
SELENOP,-3.88,4.14
SELENOS,0.06,3.54
SELENOT,-1.2,2.81
SELENOV,1.47,3.3
SELENOW,2.45,2.69
SELL,-1.76,3.91
SELP,0.24,3.35
SELPLG,0.41,3.53
SEM1,0.19,2.14
SEMA3A,-1.74,3.57
SEMA3B,-1.16,3.35
SEMA3C,-1.54,3.59
SEMA3D,0.5,3.28
SEMA3E,0.98,3.38
SEMA3F,-2.97,3.67
SEMA3G,-0.13,3.32
SEMA4A,-3.45,3.7
SEMA4B,-0.56,3.49
SEMA4C,-0.46,3.45
SEMA4D,-0.66,3.62
SEMA4F,0.17,3.49
SEMA4G,-0.17,3.31
SEMA5A,-1.07,3.39
SEMA5B,—,3
SEMA6A,0.11,3.44
SEMA6B,-0.62,3.34
SEMA6C,-3.28,4.18
SEMA6D,-3.13,4.14
SEMA7A,—,4.2
SEMG1,-3.28,4.14
SEMG2,-3.14,4.07
SENP1,-3.03,4.21
SENP2,-3.16,4.16
SENP3,-3.3,3.82
SENP5,—,3.17
SENP6,-2.07,3.12
SENP7,-0.57,3.39
SENP8,-3.5,4.12
SEPHS1,1.13,2.26
SEPHS2,1.45,2.63
SEPSECS,1.32,3.12
SEPTIN1,-3.43,4.15
SEPTIN10,-3.1,4.17
SEPTIN11,-3.1,4.14
SEPTIN12,-3.46,4.14
SEPTIN14,-3.31,4.14
SEPTIN2,1.3,—
SEPTIN3,0.92,2.53
SEPTIN4,3.23,2.35
SEPTIN5,-0.58,3.61
SEPTIN6,-1.42,3.77
SEPTIN7,-2.11,3.76
SEPTIN8,-1.99,3.73
SEPTIN9,-2.74,3.71
SERAC1,0.27,3.34
SERBP1,-2.34,2.38
SERF1A,-0.07,3.52
SERF1B,-1.36,3.63
SERF2,-1.03,3.43
SERGEF,0.57,3.25
SERHL,3.79,2.93
SERHL2,0.85,1.95
SERINC1,-1.54,4.1
SERINC2,0.54,3.27
SERINC3,0.33,3.27
SERINC4,-1.29,3.76
SERINC5,-1.66,3.68
SERP1,2.12,2.73
SERP2,2.56,3.2
SERPINA1,0.92,3.5
SERPINA10,1.98,3.08
SERPINA11,-0.31,2.4
SERPINA12,0.06,3.4
SERPINA13P,0.24,3.02
SERPINA2,0.71,3.48
SERPINA3,0.02,3.42
SERPINA4,0.05,3.74
SERPINA5,-1.38,3.16
SERPINA6,0.37,2.87
SERPINA7,-0.25,3.32
SERPINA9,0.35,0.68
SERPINB1,-1.13,2.88
SERPINB10,-1.46,3.35
SERPINB11,2.23,1.92
SERPINB12,2.06,1.81
SERPINB13,2.26,1.94
SERPINB2,-2.97,4.18
SERPINB3,1.52,3.04
SERPINB4,-0.09,2.76
SERPINB5,-0.23,3.06
SERPINB6,1.35,3.22
SERPINB7,3.84,—
SERPINB8,1.82,2.87
SERPINB9,0.58,2.69
SERPINC1,0.44,2.87
SERPIND1,3.67,2.47
SERPINE1,1.04,3.41
SERPINE2,2.89,—
SERPINE3,1.6,2.61
SERPINF1,-0.38,3.68
SERPINF2,-0.79,3.45
SERPING1,-1.37,2.98
SERPINH1,-0.89,3.16
SERPINI1,-3.03,4.15
SERPINI2,-3.17,4
SERTAD1,0.79,3.4
SERTAD2,0.78,2.94
SERTAD3,0.83,2.95
SERTAD4,—,3.23
SERTAD4-AS1,1.91,3
SERTM1,1.32,2.92
SERTM2,0.86,2.32
SESN1,0.17,2.97
SESN2,-0.77,2.95
SESN3,-0.93,3.25
SESTD1,2.86,2.13
SET,-1.76,4.51
SETBP1,-0.28,3.45
SETD1A,0.87,2.99
SETD1B,1.02,3.11
SETD2,-1.53,4.46
SETD3,-0.22,3.22
SETD4,-1.64,4.47
SETD5,-1.71,3.43
SETD6,-2.17,4.44
SETD7,-1.96,3.49
SETD9,-1.48,4.46
SETDB1,0.88,3.04
SETDB2,-1.4,4.47
SETMAR,-1.78,4.49
SETSIP,-1.44,4.5
SETX,-1.98,4.48
SEZ6,-2.01,4.5
SEZ6L,1.32,3.09
SEZ6L2,3.07,2.74
SF1,0.55,0.53
SF3A1,1.42,3.06
SF3A2,0.56,3.61
SF3A3,1.89,1.43
SF3B1,-0.45,3.54
SF3B2,-1.04,3.69
SF3B3,-0.38,3.4
SF3B4,-0.94,3.62
SF3B5,-0.39,3.32
SF3B6,-0.49,3.24
SFI1,1.97,0.6
SFMBT1,-0.35,3.52
SFMBT2,-1.2,3.41
SFN,1.05,2.32
SFPQ,-1.31,2.78
SFR1,-1.1,3.48
SFRP1,-2.17,3.74
SFRP2,-1.52,3.71
SFRP4,0.46,3.44
SFRP5,0.48,3.03
SFSWAP,-0.1,2.57
SFT2D1,0.3,2.86
SFT2D2,0.22,1.7
SFT2D3,1.22,0.79
SFTA2,-3.1,3.95
SFTA3,1.3,3.07
SFTPA1,-1.02,3.4
SFTPA2,-0.32,2.69
SFTPB,-0.11,2.82
SFTPC,-1.29,2.82
SFTPD,1.24,3.17
SFXN1,1.45,3.09
SFXN2,2.46,1.07
SFXN3,0.37,3.23
SFXN4,-0.24,3.5
SFXN5,1.29,3.37
SGCA,-0.28,2.38
SGCB,2.01,1.66
SGCD,-0.23,2.91
SGCE,1.09,1.9
SGCG,1.01,2.38
SGCZ,-1.76,2.88
SGF29,-0.01,3.84
SGIP1,-0.01,3.84
SGK1,2.44,1.47
SGK2,-1.21,3.16
SGK3,-0.28,3.77
SGMS1,0.41,3.29
SGMS2,0.61,3.24
SGO1,-0.37,3.59
SGO2,-0.54,3.44
SGPL1,1.54,1.67
SGPP1,0.13,2.97
SGPP2,1.39,3.03
SGSH,0.74,2.75
SGSM1,-0.12,2.94
SGSM2,1.37,3.25
SGSM3,3.12,3.5
SGTA,-1.9,2.87
SGTB,-0.4,2.94
SH2B1,-0.58,—
SH2B2,-0.38,—
SH2B3,0.67,3.4
SH2D1A,1.1,2.29
SH2D1B,-1.54,2.61
SH2D2A,-0.35,3.05
SH2D3A,1.54,—
SH2D3C,1.81,—
SH2D4A,0.11,—
SH2D4B,-1.76,—
SH2D5,-1.77,—
SH2D6,-0.37,—
SH2D7,-1.02,—
SH3BGR,0.37,3.51
SH3BGRL,-0.88,3.75
SH3BGRL2,-1.1,3.64
SH3BGRL3,-1.31,3.77
SH3BP1,0.69,3.43
SH3BP2,0.93,3.44
SH3BP4,0.2,3.42
SH3BP5,1.06,3.48
SH3BP5L,1.22,3.44
SH3D19,0.59,—
SH3D21,0.34,3.55
SH3GL1,-0.05,3.54
SH3GL2,0.06,3.6
SH3GL3,0.01,3.5
SH3GLB1,1.51,2.57
SH3GLB2,-0.64,2.24
SH3KBP1,0.02,3.64
SH3PXD2A,-0.65,3.27
SH3PXD2B,-0.81,3.24
SH3RF1,-0.15,3.73
SH3RF2,-0.62,3.8
SH3RF3,-0.11,3.62
SH3TC1,-4.14,4.1
SH3TC2,0.01,3.32
SH3YL1,0.14,3.65
SHANK1,-0.07,3.58
SHANK2,0.29,3.73
SHANK2-AS3,-0.34,3.64
SHANK3,-0.65,3.71
SHARPIN,-2.92,4.15
SHB,-0.18,3.37
SHBG,0.27,3.71
SHC1,4.06,3.04
SHC2,4.11,3.08
SHC3,2.81,2.65
SHC4,-0.94,3.2
SHCBP1,0.21,2.54
SHCBP1L,0.85,2.5
SHD,0.6,2.89
SHE,1.52,2.98
SHF,1.25,3.05
SHH,0.51,2.7
SHISA2,-3.56,4.07
SHISA3,-3.43,4.02
SHISA4,-1.47,3.32
SHISA5,—,3.06
SHISA6,4.47,—
SHISA7,-1.64,2.4
SHISA8,-0.44,3.11
SHISA9,-1.51,3.11
SHISAL1,-1.47,3.54
SHISAL2A,-0.98,3.12
SHISAL2B,1.26,2.99
SHKBP1,1.42,3.67
SHLD1,1.18,2.91
SHLD2,-1.81,—
SHLD3,2.06,—
SHMT1,-1.36,3.54
SHMT2,-0.31,3.06
SHOC1,-1,3.72
SHOC2,0.68,2.63
SHOX,0.95,2.62
SHOX2,0.75,2.69
SHPK,1.23,3.01
SHPRH,1.27,3
SHQ1,1.23,2.24
SHROOM1,-0.98,2.97
SHROOM2,-0.25,2.63
SHROOM3,-3.16,4.1
SHROOM4,—,4.15
SHTN1,0.88,2.9
SIAE,1.04,3.97
SIAH1,2.55,2.94
SIAH2,-0.66,3.5
SIAH3,0.91,2.73
SIDT1,0.35,2.79
SIDT2,0.7,1.89
SIGIRR,2.8,0.72
SIGLEC1,0.3,2.73
SIGLEC10,0.3,2.95
SIGLEC11,1.24,3.56
SIGLEC12,0.52,2.65
SIGLEC14,1.29,2.8
SIGLEC15,—,3.01
SIGLEC16,2.82,3.25
SIGLEC5,-0.43,2.95
SIGLEC6,-0.13,3.06
SIGLEC7,0.19,3.23
SIGLEC8,-1.18,3.07
SIGLEC9,2.63,2.92
SIGLECL1,-0.36,3.26
SIGMAR1,-1.54,3.74
SIK1,—,3.75
SIK1B,-3.46,3.73
SIK2,-1.59,3.53
SIK3,0.54,2.65
SIKE1,-1.21,2.92
SIL1,0.46,1.74
SIM1,-1.95,3.08
SIM2,0.16,3.29
SIMC1,-1.84,3.52
SIN3A,3.22,1.88
SIN3B,-0.94,3.47
SINHCAF,0.44,3.21
SIPA1,-3.44,3.9
SIPA1L1,0.04,3.2
SIPA1L2,-0.34,3.19
SIPA1L3,-0.28,3.16
SIRPA,1.29,2.84
SIRPB1,0.12,3.12
SIRPB2,-0.33,2.12
SIRPD,-0.04,2.76
SIRPG,2.13,2.75
SIRT1,-3.1,3.95
SIRT2,0.28,3.62
SIRT3,0.37,3.57
SIRT4,-0.64,3.62
SIRT5,0.89,2.94
SIRT6,0.22,2.81
SIRT7,0.16,2.65
SIT1,2.41,2.88
SIVA1,0,2.79
SIX1,0.48,2.64
SIX2,0.38,3.19
SIX3,0.91,2.74
SIX4,-0.81,3.13
SIX5,-0.58,2.72
SIX6,0.98,2.39
SIX6OS1,-3.04,4.01
SKA1,1,2.98
SKA2,2.32,1.01
SKA3,-0.09,3.57
SKAP1,0.94,3.11
SKAP2,1.2,1.5
SKI,-1.49,2.54
SKIDA1,0.56,2.54
SKIL,1.47,2.67
SKIV2L,0.49,2.72
SKOR1,0.92,—
SKOR2,0.32,3.25
SKP1,0.91,3.01
SKP2,1.04,3.07
SLA,-0.17,2.33
SLA2,1.16,1.12
SLAIN1,—,3.24
SLAIN2,0.21,2.87
SLAMF1,1.6,2.11
SLAMF6,0.96,3.3
SLAMF7,-0.02,3.46
SLAMF8,-0.37,3.35
SLAMF9,-0.99,3.26
SLBP,-0.28,3.57
SLC10A1,0.06,2.89
SLC10A2,—,1.17
SLC10A3,-3.1,3.93
SLC10A4,-1.94,4.26
SLC10A5,-3.12,4.08
SLC10A6,3.99,—
SLC10A7,-3.22,4.1
SLC11A1,0.04,3.14
SLC11A2,-2.41,3.87
SLC12A1,1.94,1.43
SLC12A2,0.65,2.68
SLC12A3,0.96,2.68
SLC12A4,2.84,1.57
SLC12A5,0.68,—
SLC12A6,0.06,2.61
SLC12A7,3.96,—
SLC12A8,1.47,1.09
SLC12A9,-0.33,2.77
SLC13A1,0.7,2.8
SLC13A2,0.39,2.9
SLC13A3,0.35,2.95
SLC13A4,0.74,2.93
SLC13A5,3.12,2.78
SLC14A1,0.65,3.68
SLC14A2,0.81,3.33
SLC15A1,1.34,3.01
SLC15A2,1.56,3.1
SLC15A3,3.75,3.14
SLC15A4,2.13,3
SLC15A5,0.92,2.84
SLC16A1,0.33,3.24
SLC16A10,-0.22,3.48
SLC16A11,-1.94,2.98
SLC16A12,1.46,3.5
SLC16A13,-1.09,3.19
SLC16A14,2.23,3.55
SLC16A2,2.31,2.75
SLC16A3,0.38,3.39
SLC16A4,-1.32,2.85
SLC16A5,-0.77,3.44
SLC16A6,-0.86,3.07
SLC16A7,0.74,3.26
SLC16A8,-1.07,3.35
SLC16A9,4,2.77
SLC17A1,0.12,1.58
SLC17A2,—,1.09
SLC17A3,0.47,1.81
SLC17A4,-1.71,2.73
SLC17A5,-1.63,3.09
SLC17A6,-1.29,3.4
SLC17A7,-0.22,2.77
SLC17A8,-0.82,1.42
SLC17A9,-0.53,2.82
SLC18A1,-0.22,2.86
SLC18A2,-0.88,3.89
SLC18A3,—,3.18
SLC18B1,-0.06,3.1
SLC19A1,-0.01,2.61
SLC19A2,-0.77,3.39
SLC19A3,2.18,2.61
SLC1A1,0.5,3.04
SLC1A2,0.55,0.75
SLC1A3,1.69,1.38
SLC1A4,-2.73,3.83
SLC1A5,-0.09,3.42
SLC1A6,-0.81,3.29
SLC1A7,-1.33,3.42
SLC20A1,—,2.55
SLC20A2,4.23,-0.03
SLC22A1,-0.19,3.13
SLC22A10,0.06,1.97
SLC22A11,-0.23,1.39
SLC22A12,1.02,2.05
SLC22A13,0.3,2.06
SLC22A14,0.1,2.06
SLC22A15,0.06,2.43
SLC22A16,0.7,2.58
SLC22A17,-0.24,2.73
SLC22A18,3.28,0.29
SLC22A18AS,-2.48,3.59
SLC22A2,-0.55,2.68
SLC22A20P,0.16,3.08
SLC22A23,0.76,1.58
SLC22A24,-1.91,3.08
SLC22A25,0.28,1.92
SLC22A3,-0.72,3.04
SLC22A31,3.22,2.61
SLC22A4,1.37,2.57
SLC22A5,0.44,2.59
SLC22A6,0.35,0.86
SLC22A7,0.44,2.4
SLC22A8,0.41,2.73
SLC22A9,0.72,0.84
SLC23A1,-0.42,3.16
SLC23A2,1.51,2.77
SLC23A3,-0.12,2.86
SLC24A1,-1.12,3.51
SLC24A2,1.22,2.6
SLC24A3,-0.38,1.36
SLC24A4,0.66,1.94
SLC24A5,-0.32,0
SLC25A1,1.87,2.82
SLC25A10,-0.3,3.29
SLC25A11,-0.62,3.4
SLC25A12,-0.19,3.78
SLC25A13,-0.36,3.31
SLC25A14,1.14,3.38
SLC25A15,-3.23,3.77
SLC25A16,—,3.11
SLC25A17,0.4,2.96
SLC25A18,-0.97,1.23
SLC25A19,0.91,3.43
SLC25A2,-2.97,3.86
SLC25A20,-0.23,3.44
SLC25A21,—,4.02
SLC25A22,-0.48,3.89
SLC25A23,-3.67,3.59
SLC25A24,-2.85,3.96
SLC25A25,-3.44,4.07
SLC25A26,-2.64,3.81
SLC25A27,0.49,3.4
SLC25A28,-0.98,3.47
SLC25A29,0.11,3.56
SLC25A3,0.24,3.06
SLC25A30,-0.35,3.45
SLC25A31,0.24,3.59
SLC25A32,2.83,2.07
SLC25A33,1.15,2.77
SLC25A34,1.71,1.36
SLC25A35,—,1.63
SLC25A36,0.78,2.93
SLC25A37,1.26,3.39
SLC25A38,1.43,1.43
SLC25A39,-1.31,3.08
SLC25A4,1.19,1.74
SLC25A40,0.81,2.57
SLC25A41,0.49,3.18
SLC25A42,-1.07,3.33
SLC25A43,0.23,2.2
SLC25A44,0.07,3.51
SLC25A45,4,1.98
SLC25A46,1.79,0.28
SLC25A47,0.11,2.77
SLC25A48,0.31,3.11
SLC25A5,1.12,3.47
SLC25A51,-0.52,3.79
SLC25A52,0.49,3.08
SLC25A53,0.67,2.57
SLC25A6,0.31,3.51
SLC26A1,-1.63,2.35
SLC26A10,0.74,2.97
SLC26A11,0.23,2.66
SLC26A2,-1.54,2.36
SLC26A3,-1.72,2.35
SLC26A4,—,2.96
SLC26A5,0.46,3.55
SLC26A6,0.02,3.61
SLC26A7,—,3.56
SLC26A8,-1.4,3.43
SLC26A9,0.25,3.57
SLC27A1,-0.5,3.38
SLC27A2,-0.54,3.36
SLC27A3,0.16,3.26
SLC27A4,-0.84,3.17
SLC27A5,-0.89,3.45
SLC27A6,0.2,3.18
SLC28A1,-1.05,4.08
SLC28A2,—,2.43
SLC28A3,0.11,0.23
SLC29A1,0.64,2.39
SLC29A2,0.72,3.04
SLC29A3,0.12,2.15
SLC29A4,0.74,2.48
SLC2A1,-1.24,3.89
SLC2A10,-3.17,3.95
SLC2A11,-1.61,3.97
SLC2A12,-3.09,3.74
SLC2A13,—,3.35
SLC2A14,-1.17,3.91
SLC2A2,—,3.92
SLC2A3,-3.47,3.93
SLC2A4,-1.66,3.56
SLC2A4RG,1.13,3.21
SLC2A5,-2.75,4.01
SLC2A6,-3.19,3.71
SLC2A7,-2.89,3.92
SLC2A8,-3.01,3.87
SLC2A9,-2.77,3.95
SLC30A1,3.17,1.96
SLC30A10,1.47,3.3
SLC30A2,0.16,1.24
SLC30A3,1.99,2
SLC30A4,1.52,1.2
SLC30A5,2.31,2.73
SLC30A6,1.55,2.75
SLC30A7,1.43,2.87
SLC30A8,2.15,2.84
SLC30A9,1.08,3.46
SLC31A1,-1.08,2.94
SLC31A2,-2.1,3.51
SLC32A1,-1.38,1.62
SLC33A1,-1.19,3.42
SLC34A1,1.6,1.5
SLC34A2,0.38,1.14
SLC34A3,2.58,2.44
SLC35A1,-0.94,2.18
SLC35A2,0.33,2.94
SLC35A3,0.72,2.93
SLC35A4,0.6,3.19
SLC35A5,0.35,2.49
SLC35B1,-1.02,2.17
SLC35B2,0.03,1.26
SLC35B3,0.11,2.24
SLC35B4,-0.08,2.9
SLC35C1,-0.91,3.49
SLC35C2,0.12,3.08
SLC35D1,2.61,3.05
SLC35D2,-0.22,3.45
SLC35D3,1.41,1.72
SLC35E1,-3.19,4.05
SLC35E2A,-1.95,4.12
SLC35E2B,0.54,3.16
SLC35E3,-0.65,3.68
SLC35E4,0.17,3.05
SLC35F1,0.34,3.04
SLC35F2,—,3.03
SLC35F3,0.59,1.83
SLC35F4,4.12,2.93
SLC35F5,1.69,1.49
SLC35F6,-0.75,3.46
SLC35G1,-0.32,4.37
SLC35G2,-0.32,4.38
SLC35G3,-0.5,4.39
SLC35G4,1.22,2.99
SLC35G5,-0.06,2.38
SLC35G6,0.55,2.91
SLC36A1,0.68,3.04
SLC36A2,-0.34,3.23
SLC36A3,0.14,2.64
SLC36A4,0.19,2.56
SLC37A1,0.46,3
SLC37A2,1.02,2.74
SLC37A3,—,1.82
SLC37A4,-0.56,3
SLC38A1,0.95,2.86
SLC38A10,1.59,—
